CarID 	 Direction 	 Arrival-Time 	 Cross-Time 	 Wait-Time
_________________________________________________________________
1 		 N 			 20:39:13 		 20:39:13 		 0
2 		 E 			 20:39:13 		 20:39:14 		 1
5 		 E 			 20:39:14 		 20:39:15 		 1
3 		 S 			 20:39:13 		 20:39:16 		 3
6 		 S 			 20:39:14 		 20:39:17 		 3
4 		 W 			 20:39:13 		 20:39:18 		 5
7 		 W 			 20:39:15 		 20:39:19 		 4
9 		 W 			 20:39:16 		 20:39:20 		 4
10 		 W 			 20:39:17 		 20:39:21 		 4
11 		 W 			 20:39:18 		 20:39:22 		 4
12 		 W 			 20:39:20 		 20:39:23 		 3
14 		 W 			 20:39:23 		 20:39:24 		 1
18 		 W 			 20:39:24 		 20:39:25 		 1
19 		 W 			 20:39:25 		 20:39:26 		 1
22 		 W 			 20:39:27 		 20:39:27 		 0
15 		 E 			 20:39:23 		 20:39:28 		 5
8 		 S 			 20:39:16 		 20:39:29 		 13
13 		 S 			 20:39:22 		 20:39:30 		 8
16 		 S 			 20:39:24 		 20:39:31 		 7
23 		 S 			 20:39:27 		 20:39:32 		 5
26 		 S 			 20:39:28 		 20:39:33 		 5
17 		 E 			 20:39:24 		 20:39:34 		 10
20 		 E 			 20:39:26 		 20:39:35 		 9
21 		 E 			 20:39:27 		 20:39:36 		 9
24 		 E 			 20:39:28 		 20:39:37 		 9
31 		 E 			 20:39:34 		 20:39:38 		 4
36 		 E 			 20:39:37 		 20:39:39 		 2
25 		 W 			 20:39:28 		 20:39:40 		 12
27 		 W 			 20:39:30 		 20:39:41 		 11
28 		 W 			 20:39:32 		 20:39:42 		 10
34 		 W 			 20:39:36 		 20:39:43 		 7
39 		 W 			 20:39:40 		 20:39:44 		 4
29 		 S 			 20:39:33 		 20:39:45 		 12
37 		 S 			 20:39:39 		 20:39:46 		 7
41 		 S 			 20:39:41 		 20:39:47 		 6
43 		 S 			 20:39:44 		 20:39:48 		 4
46 		 S 			 20:39:45 		 20:39:49 		 4
50 		 S 			 20:39:48 		 20:39:50 		 2
51 		 S 			 20:39:51 		 20:39:51 		 0
40 		 W 			 20:39:41 		 20:39:52 		 11
42 		 W 			 20:39:43 		 20:39:53 		 10
38 		 E 			 20:39:40 		 20:39:54 		 14
30 		 N 			 20:39:34 		 20:39:55 		 21
32 		 N 			 20:39:35 		 20:39:56 		 21
33 		 N 			 20:39:36 		 20:39:57 		 21
35 		 N 			 20:39:37 		 20:39:58 		 21
44 		 W 			 20:39:45 		 20:39:59 		 14
45 		 E 			 20:39:45 		 20:40:00 		 15
48 		 W 			 20:39:47 		 20:40:01 		 14
47 		 E 			 20:39:47 		 20:40:02 		 15
52 		 W 			 20:39:52 		 20:40:03 		 11
55 		 S 			 20:39:54 		 20:40:04 		 10
53 		 W 			 20:39:53 		 20:40:05 		 12
49 		 E 			 20:39:48 		 20:40:06 		 18
57 		 S 			 20:39:55 		 20:40:07 		 12
54 		 E 			 20:39:54 		 20:40:08 		 14
58 		 S 			 20:39:56 		 20:40:09 		 13
59 		 E 			 20:39:59 		 20:40:10 		 11
62 		 E 			 20:40:00 		 20:40:11 		 11
60 		 S 			 20:39:59 		 20:40:12 		 13
